nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[1818, 1294]",460,1899,263,0,1203,63.34913112164296,0:00:22.684580
1,2,0.1,2,"[1051, 1898]",462,1899,264,0,1205,63.454449710373886,0:00:22.684580
1,2,0.1,2,"[721, 1588]",464,1899,265,0,1207,63.55976829910479,0:00:22.684580
1,2,0.1,2,"[1895, 1459]",466,1899,266,0,1209,63.6650868878357,0:00:22.684580
1,2,0.1,2,"[331, 139]",468,1899,267,0,1211,63.770405476566616,0:00:22.684580
1,2,0.1,2,"[1378, 230]",470,1899,268,0,1213,63.875724065297526,0:00:22.684580
1,2,0.1,2,"[348, 1822]",472,1899,269,0,1215,63.98104265402843,0:00:22.684580
1,2,0.1,2,"[1347, 1515]",474,1899,270,0,1217,64.08636124275935,0:00:22.684580
1,2,0.1,2,"[77, 232]",476,1899,271,0,1219,64.19167983149026,0:00:22.684580
1,2,0.1,2,"[825, 1846]",478,1899,272,0,1221,64.29699842022117,0:00:22.684580
1,2,0.1,2,"[1861, 1232]",480,1899,273,0,1223,64.40231700895208,0:00:22.684580
1,2,0.1,2,"[1809, 886]",482,1899,274,0,1225,64.50763559768299,0:00:22.684580
1,2,0.1,2,"[1308, 820]",484,1899,275,0,1227,64.6129541864139,0:00:22.684580
1,2,0.1,2,"[1715, 1306]",486,1899,276,1,1230,64.77093206951027,0:00:22.684580
1,2,0.1,2,"[1715, 1306]",486,1899,277,0,1230,64.77093206951027,0:00:22.684580
1,2,0.1,2,"[680, 1634]",488,1899,278,0,1232,64.87625065824118,0:00:22.684580
1,2,0.1,2,"[1541, 1146]",490,1899,279,0,1234,64.9815692469721,0:00:22.684580
1,2,0.1,2,"[1858, 1625]",492,1899,280,1,1237,65.13954713006845,0:00:22.684580
1,2,0.1,2,"[1858, 1625]",492,1899,281,0,1237,65.13954713006845,0:00:22.684580
1,2,0.1,2,"[574, 907]",494,1899,282,0,1239,65.24486571879937,0:00:22.684580
1,2,0.1,2,"[548, 1360]",496,1899,283,0,1241,65.35018430753028,0:00:22.684580
1,2,0.1,2,"[1467, 123]",498,1899,284,0,1243,65.45550289626118,0:00:22.684580
